confidence_threshold,automatic_coverage,manual_review_rate,accuracy_on_automatic_predictions,n_automatic_predictions
0.5,0.887,0.113,0.8716,103180
0.6,0.7762,0.2238,0.9156,90292
0.7,0.6967,0.3033,0.9455,81046
0.8,0.6303,0.3697,0.9654,73321
0.9,0.5648,0.4352,0.98,65698
0.95,0.5171,0.4829,0.9874,60146
0.98,0.463,0.537,0.9917,53858
