split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1,top3_accuracy
validation,,0.8253,0.7779,0.7436,0.8316,0.9889
test,0.4347,0.8263,0.7782,0.7418,0.8327,0.9893
