true_character,predicted_character,count,true_character_count,confusion_rate,confusion_percentage
y,4,11,381,0.028871391076115485,2.8871391076115485
v,y,10,468,0.021367521367521368,2.1367521367521367
O,a,10,4156,0.002406159769008662,0.2406159769008662
S,J,10,3508,0.0028506271379703536,0.28506271379703535
2,g,10,5869,0.0017038677798602829,0.17038677798602828
r,h,10,2320,0.004310344827586207,0.43103448275862066
2,d,9,5869,0.0015334810018742546,0.15334810018742545
a,9,9,1644,0.005474452554744526,0.5474452554744526
6,L,9,5705,0.0015775635407537247,0.15775635407537247
G,6,9,447,0.020134228187919462,2.013422818791946
V,r,9,796,0.011306532663316583,1.1306532663316584
4,9,9,5619,0.001601708489054992,0.16017084890549918
Z,2,8,464,0.017241379310344827,1.7241379310344827
4,U,8,5619,0.0014237408791599928,0.1423740879159993
7,T,8,6139,0.001303143834500733,0.1303143834500733
0,C,8,5778,0.0013845621322256837,0.13845621322256838
6,U,8,5705,0.0014022787028921998,0.14022787028921999
4,t,8,5619,0.0014237408791599928,0.1423740879159993
0,G,8,5778,0.0013845621322256837,0.13845621322256838
e,c,8,4092,0.0019550342130987292,0.19550342130987292
C,G,8,1739,0.004600345025876941,0.46003450258769407
g,G,8,589,0.013582342954159592,1.3582342954159592
0,B,7,5778,0.0012114918656974732,0.12114918656974732
P,D,7,1397,0.005010737294201861,0.5010737294201861
q,8,7,505,0.013861386138613862,1.3861386138613863
V,Y,7,796,0.008793969849246231,0.8793969849246231
u,v,7,482,0.014522821576763486,1.4522821576763485
r,t,7,2320,0.003017241379310345,0.3017241379310345
n,A,7,1898,0.0036880927291886197,0.36880927291886195
7,y,7,6139,0.0011402508551881414,0.11402508551881414
a,d,7,1644,0.004257907542579075,0.4257907542579075
a,G,7,1644,0.004257907542579075,0.4257907542579075
2,j,7,5869,0.001192707445902198,0.1192707445902198
l,j,7,2535,0.0027613412228796844,0.27613412228796846
9,4,7,5686,0.0012310939148786493,0.12310939148786493
U,0,7,2002,0.0034965034965034965,0.34965034965034963
U,4,7,2002,0.0034965034965034965,0.34965034965034963
t,E,7,2965,0.002360876897133221,0.2360876897133221
8,j,7,5633,0.0012426770814841115,0.12426770814841115
F,E,7,1440,0.004861111111111111,0.4861111111111111
L,h,6,810,0.007407407407407408,0.7407407407407408
d,D,6,1683,0.0035650623885918,0.35650623885918004
N,H,6,1351,0.0044411547002220575,0.44411547002220575
t,Y,6,2965,0.002023608768971332,0.2023608768971332
3,2,6,5969,0.0010051934997487016,0.10051934997487015
e,l,6,4092,0.001466275659824047,0.1466275659824047
8,F,6,5633,0.0010651517841292384,0.10651517841292384
q,a,6,505,0.011881188118811881,1.188118811881188
5,3,6,5190,0.0011560693641618498,0.11560693641618498
9,7,6,5686,0.001055223355610271,0.1055223355610271
h,n,6,1479,0.004056795131845842,0.4056795131845842
5,j,6,5190,0.0011560693641618498,0.11560693641618498
8,f,6,5633,0.0010651517841292384,0.10651517841292384
8,Y,6,5633,0.0010651517841292384,0.10651517841292384
8,Q,6,5633,0.0010651517841292384,0.10651517841292384
7,n,6,6139,0.0009773578758755497,0.09773578758755497
T,J,6,1576,0.0038071065989847717,0.3807106598984772
8,G,5,5633,0.0008876264867743654,0.08876264867743654
S,g,5,3508,0.0014253135689851768,0.14253135689851767
6,h,5,5705,0.0008764241893076249,0.0876424189307625
n,M,5,1898,0.0026343519494204425,0.26343519494204426
v,u,5,468,0.010683760683760684,1.0683760683760684
7,Z,5,6139,0.0008144648965629581,0.0814464896562958
L,6,5,810,0.006172839506172839,0.6172839506172839
L,C,5,810,0.006172839506172839,0.6172839506172839
b,G,5,853,0.005861664712778429,0.5861664712778429
J,5,5,626,0.007987220447284345,0.7987220447284344
b,h,5,853,0.005861664712778429,0.5861664712778429
8,E,5,5633,0.0008876264867743654,0.08876264867743654
r,5,5,2320,0.0021551724137931034,0.21551724137931033
I,j,5,2048,0.00244140625,0.244140625
e,p,5,4092,0.0012218963831867058,0.12218963831867058
I,L,5,2048,0.00244140625,0.244140625
g,8,5,589,0.008488964346349746,0.8488964346349746
4,x,5,5619,0.0008898380494749955,0.08898380494749955
N,n,5,1351,0.003700962250185048,0.3700962250185048
u,4,5,482,0.01037344398340249,1.0373443983402488
7,9,5,6139,0.0008144648965629581,0.0814464896562958
v,r,5,468,0.010683760683760684,1.0683760683760684
2,Q,5,5869,0.0008519338899301414,0.08519338899301414
y,u,5,381,0.013123359580052493,1.3123359580052494
I,J,4,2048,0.001953125,0.1953125
8,5,4,5633,0.0007101011894194922,0.07101011894194922
4,q,4,5619,0.0007118704395799964,0.07118704395799964
H,A,4,521,0.007677543186180422,0.7677543186180422
J,U,4,626,0.006389776357827476,0.6389776357827476
L,c,4,810,0.0049382716049382715,0.49382716049382713
4,h,4,5619,0.0007118704395799964,0.07118704395799964
2,q,4,5869,0.0006815471119441132,0.06815471119441131
d,a,4,1683,0.0023767082590612004,0.23767082590612004
t,X,4,2965,0.0013490725126475548,0.13490725126475547
3,g,4,5969,0.0006701289998324678,0.06701289998324678
3,7,4,5969,0.0006701289998324678,0.06701289998324678
T,r,4,1576,0.0025380710659898475,0.25380710659898476
C,E,4,1739,0.0023001725129384704,0.23001725129384704
0,n,4,5778,0.0006922810661128419,0.06922810661128419
A,H,4,1062,0.003766478342749529,0.3766478342749529
D,p,4,779,0.005134788189987163,0.5134788189987163
h,b,4,1479,0.002704530087897228,0.2704530087897228
7,t,4,6139,0.0006515719172503665,0.06515719172503665
S,8,4,3508,0.0011402508551881414,0.11402508551881414
1,f,4,6330,0.000631911532385466,0.0631911532385466
S,G,4,3508,0.0011402508551881414,0.11402508551881414
p,D,4,368,0.010869565217391304,1.0869565217391304
7,F,4,6139,0.0006515719172503665,0.06515719172503665
a,o,4,1644,0.0024330900243309003,0.24330900243309003
U,w,4,2002,0.001998001998001998,0.1998001998001998
g,S,4,589,0.006791171477079796,0.6791171477079796
g,a,4,589,0.006791171477079796,0.6791171477079796
0,a,4,5778,0.0006922810661128419,0.06922810661128419
l,7,4,2535,0.0015779092702169625,0.15779092702169625
u,y,4,482,0.008298755186721992,0.8298755186721992
C,6,3,1739,0.0017251293847038527,0.17251293847038526
h,k,3,1479,0.002028397565922921,0.2028397565922921
h,f,3,1479,0.002028397565922921,0.2028397565922921
5,F,3,5190,0.0005780346820809249,0.05780346820809249
8,S,3,5633,0.0005325758920646192,0.05325758920646192
t,4,3,2965,0.001011804384485666,0.1011804384485666
l,e,3,2535,0.001183431952662722,0.1183431952662722
D,O,3,779,0.0038510911424903724,0.38510911424903727
C,t,3,1739,0.0017251293847038527,0.17251293847038526
6,C,3,5705,0.0005258545135845749,0.05258545135845749
7,q,3,6139,0.0004886789379377749,0.048867893793777484
l,F,3,2535,0.001183431952662722,0.1183431952662722
o,Q,3,466,0.006437768240343348,0.6437768240343348
o,p,3,466,0.006437768240343348,0.6437768240343348
r,e,3,2320,0.001293103448275862,0.12931034482758622
8,p,3,5633,0.0005325758920646192,0.05325758920646192
9,Q,3,5686,0.0005276116778051355,0.05276116778051355
U,y,3,2002,0.0014985014985014985,0.14985014985014986
V,u,3,796,0.0037688442211055275,0.37688442211055273
s,D,3,437,0.006864988558352402,0.6864988558352403
l,Y,3,2535,0.001183431952662722,0.1183431952662722
2,8,3,5869,0.0005111603339580849,0.05111603339580849
Q,q,3,413,0.007263922518159807,0.7263922518159807
z,3,3,451,0.0066518847006651885,0.6651884700665188
9,f,3,5686,0.0005276116778051355,0.05276116778051355
U,a,3,2002,0.0014985014985014985,0.14985014985014986
0,5,3,5778,0.0005192107995846313,0.05192107995846314
a,n,3,1644,0.0018248175182481751,0.18248175182481752
t,b,3,2965,0.001011804384485666,0.1011804384485666
P,b,3,1397,0.0021474588403722263,0.21474588403722264
u,V,3,482,0.006224066390041493,0.6224066390041494
t,Z,3,2965,0.001011804384485666,0.1011804384485666
Y,X,3,798,0.0037593984962406013,0.37593984962406013
O,G,3,4156,0.0007218479307025986,0.07218479307025986
r,C,3,2320,0.001293103448275862,0.12931034482758622
R,F,3,809,0.003708281829419036,0.3708281829419036
x,4,3,470,0.006382978723404255,0.6382978723404255
1,Y,3,6330,0.00047393364928909954,0.047393364928909956
1,T,3,6330,0.00047393364928909954,0.047393364928909956
S,B,3,3508,0.0008551881413911061,0.08551881413911061
p,e,3,368,0.008152173913043478,0.8152173913043478
x,y,3,470,0.006382978723404255,0.6382978723404255
0,8,3,5778,0.0005192107995846313,0.05192107995846314
M,H,3,1485,0.00202020202020202,0.20202020202020202
4,f,3,5619,0.0005339028296849973,0.05339028296849973
4,a,3,5619,0.0005339028296849973,0.05339028296849973
3,j,3,5969,0.0005025967498743508,0.050259674987435075
I,r,3,2048,0.00146484375,0.146484375
c,e,3,432,0.006944444444444444,0.6944444444444444
8,6,3,5633,0.0005325758920646192,0.05325758920646192
O,c,3,4156,0.0007218479307025986,0.07218479307025986
f,t,3,400,0.0075,0.75
e,t,3,4092,0.0007331378299120235,0.07331378299120235
5,8,3,5190,0.0005780346820809249,0.05780346820809249
8,3,3,5633,0.0005325758920646192,0.05325758920646192
F,P,2,1440,0.001388888888888889,0.1388888888888889
D,b,2,779,0.0025673940949935813,0.25673940949935814
k,x,2,466,0.004291845493562232,0.4291845493562232
F,T,2,1440,0.001388888888888889,0.1388888888888889
U,c,2,2002,0.000999000999000999,0.0999000999000999
1,F,2,6330,0.000315955766192733,0.0315955766192733
z,j,2,451,0.004434589800443459,0.4434589800443459
0,V,2,5778,0.00034614053305642093,0.034614053305642094
0,d,2,5778,0.00034614053305642093,0.034614053305642094
1,C,2,6330,0.000315955766192733,0.0315955766192733
y,v,2,381,0.005249343832020997,0.5249343832020997
5,G,2,5190,0.0003853564547206166,0.03853564547206166
l,X,2,2535,0.0007889546351084812,0.07889546351084813
5,Y,2,5190,0.0003853564547206166,0.03853564547206166
j,U,2,317,0.006309148264984227,0.6309148264984227
l,r,2,2535,0.0007889546351084812,0.07889546351084813
C,a,2,1739,0.0011500862564692352,0.11500862564692352
9,8,2,5686,0.00035174111853675694,0.035174111853675694
j,g,2,317,0.006309148264984227,0.6309148264984227
k,h,2,466,0.004291845493562232,0.4291845493562232
9,y,2,5686,0.00035174111853675694,0.035174111853675694
A,a,2,1062,0.0018832391713747645,0.18832391713747645
r,v,2,2320,0.0008620689655172414,0.08620689655172414
9,D,2,5686,0.00035174111853675694,0.035174111853675694
V,y,2,796,0.002512562814070352,0.25125628140703515
v,N,2,468,0.004273504273504274,0.4273504273504274
8,t,2,5633,0.0003550505947097461,0.03550505947097461
Q,a,2,413,0.004842615012106538,0.48426150121065376
o,a,2,466,0.004291845493562232,0.4291845493562232
6,f,2,5705,0.00035056967572304995,0.035056967572304996
n,a,2,1898,0.001053740779768177,0.10537407797681769
r,y,2,2320,0.0008620689655172414,0.08620689655172414
8,X,2,5633,0.0003550505947097461,0.03550505947097461
2,D,2,5869,0.0003407735559720566,0.03407735559720566
2,I,2,5869,0.0003407735559720566,0.03407735559720566
2,J,2,5869,0.0003407735559720566,0.03407735559720566
t,J,2,2965,0.0006745362563237774,0.06745362563237774
s,j,2,437,0.004576659038901602,0.4576659038901602
F,t,2,1440,0.001388888888888889,0.1388888888888889
c,G,2,432,0.004629629629629629,0.4629629629629629
J,S,2,626,0.003194888178913738,0.3194888178913738
K,R,2,382,0.005235602094240838,0.5235602094240838
d,j,2,1683,0.0011883541295306002,0.11883541295306002
d,n,2,1683,0.0011883541295306002,0.11883541295306002
o,G,2,466,0.004291845493562232,0.4291845493562232
7,z,2,6139,0.00032578595862518323,0.03257859586251832
d,J,2,1683,0.0011883541295306002,0.11883541295306002
I,z,2,2048,0.0009765625,0.09765625
3,J,2,5969,0.0003350644999162339,0.03350644999162339
6,4,2,5705,0.00035056967572304995,0.035056967572304996
6,0,2,5705,0.00035056967572304995,0.035056967572304996
r,8,2,2320,0.0008620689655172414,0.08620689655172414
I,Z,2,2048,0.0009765625,0.09765625
I,F,2,2048,0.0009765625,0.09765625
H,W,2,521,0.003838771593090211,0.3838771593090211
h,R,2,1479,0.001352265043948614,0.1352265043948614
e,h,2,4092,0.0004887585532746823,0.04887585532746823
e,G,2,4092,0.0004887585532746823,0.04887585532746823
e,a,2,4092,0.0004887585532746823,0.04887585532746823
e,Q,2,4092,0.0004887585532746823,0.04887585532746823
I,q,2,2048,0.0009765625,0.09765625
d,N,2,1683,0.0011883541295306002,0.11883541295306002
4,G,2,5619,0.0003559352197899982,0.03559352197899982
4,Q,2,5619,0.0003559352197899982,0.03559352197899982
3,Z,2,5969,0.0003350644999162339,0.03350644999162339
g,s,2,589,0.003395585738539898,0.3395585738539898
C,i,2,1739,0.0011500862564692352,0.11500862564692352
4,j,2,5619,0.0003559352197899982,0.03559352197899982
Q,G,2,413,0.004842615012106538,0.48426150121065376
a,8,2,1644,0.0012165450121654502,0.12165450121654502
2,Y,2,5869,0.0003407735559720566,0.03407735559720566
v,j,2,468,0.004273504273504274,0.4273504273504274
Y,t,2,798,0.002506265664160401,0.2506265664160401
Y,r,2,798,0.002506265664160401,0.2506265664160401
a,u,2,1644,0.0012165450121654502,0.12165450121654502
a,R,2,1644,0.0012165450121654502,0.12165450121654502
t,x,2,2965,0.0006745362563237774,0.06745362563237774
t,r,2,2965,0.0006745362563237774,0.06745362563237774
t,k,2,2965,0.0006745362563237774,0.06745362563237774
N,A,2,1351,0.0014803849000740192,0.1480384900074019
c,o,2,432,0.004629629629629629,0.4629629629629629
s,N,2,437,0.004576659038901602,0.4576659038901602
3,5,2,5969,0.0003350644999162339,0.03350644999162339
J,g,2,626,0.003194888178913738,0.3194888178913738
R,B,2,809,0.002472187886279357,0.2472187886279357
7,A,2,6139,0.00032578595862518323,0.03257859586251832
n,r,2,1898,0.001053740779768177,0.10537407797681769
6,k,2,5705,0.00035056967572304995,0.035056967572304996
x,N,2,470,0.00425531914893617,0.425531914893617
Y,V,2,798,0.002506265664160401,0.2506265664160401
5,E,2,5190,0.0003853564547206166,0.03853564547206166
p,R,2,368,0.005434782608695652,0.5434782608695652
W,u,2,806,0.0024813895781637717,0.24813895781637718
S,3,2,3508,0.0005701254275940707,0.05701254275940707
R,k,2,809,0.002472187886279357,0.2472187886279357
1,Z,2,6330,0.000315955766192733,0.0315955766192733
1,q,2,6330,0.000315955766192733,0.0315955766192733
2,7,2,5869,0.0003407735559720566,0.03407735559720566
0,P,2,5778,0.00034614053305642093,0.034614053305642094
z,y,2,451,0.004434589800443459,0.4434589800443459
0,J,1,5778,0.00017307026652821047,0.017307026652821047
y,U,1,381,0.0026246719160104987,0.26246719160104987
y,9,1,381,0.0026246719160104987,0.26246719160104987
y,7,1,381,0.0026246719160104987,0.26246719160104987
x,z,1,470,0.002127659574468085,0.2127659574468085
w,m,1,467,0.0021413276231263384,0.21413276231263384
w,s,1,467,0.0021413276231263384,0.21413276231263384
x,2,1,470,0.002127659574468085,0.2127659574468085
1,r,1,6330,0.0001579778830963665,0.01579778830963665
2,3,1,5869,0.0001703867779860283,0.01703867779860283
2,6,1,5869,0.0001703867779860283,0.01703867779860283
2,A,1,5869,0.0001703867779860283,0.01703867779860283
2,B,1,5869,0.0001703867779860283,0.01703867779860283
0,q,1,5778,0.00017307026652821047,0.017307026652821047
1,4,1,6330,0.0001579778830963665,0.01579778830963665
v,H,1,468,0.002136752136752137,0.2136752136752137
v,Y,1,468,0.002136752136752137,0.2136752136752137
w,H,1,467,0.0021413276231263384,0.21413276231263384
w,N,1,467,0.0021413276231263384,0.21413276231263384
2,R,1,5869,0.0001703867779860283,0.01703867779860283
2,S,1,5869,0.0001703867779860283,0.01703867779860283
S,t,1,3508,0.00028506271379703536,0.028506271379703536
T,S,1,1576,0.0006345177664974619,0.06345177664974619
T,Y,1,1576,0.0006345177664974619,0.06345177664974619
T,c,1,1576,0.0006345177664974619,0.06345177664974619
T,f,1,1576,0.0006345177664974619,0.06345177664974619
Q,g,1,413,0.002421307506053269,0.24213075060532688
R,A,1,809,0.0012360939431396785,0.12360939431396785
U,C,1,2002,0.0004995004995004995,0.04995004995004995
U,K,1,2002,0.0004995004995004995,0.04995004995004995
U,M,1,2002,0.0004995004995004995,0.04995004995004995
U,N,1,2002,0.0004995004995004995,0.04995004995004995
U,O,1,2002,0.0004995004995004995,0.04995004995004995
U,W,1,2002,0.0004995004995004995,0.04995004995004995
U,Y,1,2002,0.0004995004995004995,0.04995004995004995
U,d,1,2002,0.0004995004995004995,0.04995004995004995
U,j,1,2002,0.0004995004995004995,0.04995004995004995
Y,9,1,798,0.0012531328320802004,0.12531328320802004
Y,J,1,798,0.0012531328320802004,0.12531328320802004
U,q,1,2002,0.0004995004995004995,0.04995004995004995
R,K,1,809,0.0012360939431396785,0.12360939431396785
S,6,1,3508,0.00028506271379703536,0.028506271379703536
S,N,1,3508,0.00028506271379703536,0.028506271379703536
O,s,1,4156,0.00024061597690086623,0.024061597690086624
P,8,1,1397,0.0007158196134574087,0.07158196134574087
V,1,1,796,0.001256281407035176,0.12562814070351758
V,J,1,796,0.001256281407035176,0.12562814070351758
V,K,1,796,0.001256281407035176,0.12562814070351758
V,X,1,796,0.001256281407035176,0.12562814070351758
W,6,1,806,0.0012406947890818859,0.12406947890818859
U,6,1,2002,0.0004995004995004995,0.04995004995004995
S,h,1,3508,0.00028506271379703536,0.028506271379703536
S,j,1,3508,0.00028506271379703536,0.028506271379703536
P,Q,1,1397,0.0007158196134574087,0.07158196134574087
P,Y,1,1397,0.0007158196134574087,0.07158196134574087
P,f,1,1397,0.0007158196134574087,0.07158196134574087
P,r,1,1397,0.0007158196134574087,0.07158196134574087
Q,0,1,413,0.002421307506053269,0.24213075060532688
Q,2,1,413,0.002421307506053269,0.24213075060532688
Q,9,1,413,0.002421307506053269,0.24213075060532688
Q,B,1,413,0.002421307506053269,0.24213075060532688
N,r,1,1351,0.0007401924500370096,0.07401924500370095
N,w,1,1351,0.0007401924500370096,0.07401924500370095
O,A,1,4156,0.00024061597690086623,0.024061597690086624
W,n,1,806,0.0012406947890818859,0.12406947890818859
W,y,1,806,0.0012406947890818859,0.12406947890818859
X,Z,1,432,0.0023148148148148147,0.23148148148148145
X,y,1,432,0.0023148148148148147,0.23148148148148145
Y,7,1,798,0.0012531328320802004,0.12531328320802004
O,U,1,4156,0.00024061597690086623,0.024061597690086624
O,b,1,4156,0.00024061597690086623,0.024061597690086624
O,d,1,4156,0.00024061597690086623,0.024061597690086624
O,n,1,4156,0.00024061597690086623,0.024061597690086624
L,f,1,810,0.0012345679012345679,0.12345679012345678
L,i,1,810,0.0012345679012345679,0.12345679012345678
L,j,1,810,0.0012345679012345679,0.12345679012345678
Z,7,1,464,0.0021551724137931034,0.21551724137931033
Z,F,1,464,0.0021551724137931034,0.21551724137931033
Z,g,1,464,0.0021551724137931034,0.21551724137931033
a,D,1,1644,0.0006082725060827251,0.06082725060827251
W,M,1,806,0.0012406947890818859,0.12406947890818859
W,N,1,806,0.0012406947890818859,0.12406947890818859
W,Q,1,806,0.0012406947890818859,0.12406947890818859
W,Y,1,806,0.0012406947890818859,0.12406947890818859
P,F,1,1397,0.0007158196134574087,0.07158196134574087
M,W,1,1485,0.0006734006734006734,0.06734006734006734
N,R,1,1351,0.0007401924500370096,0.07401924500370095
N,X,1,1351,0.0007401924500370096,0.07401924500370095
J,Y,1,626,0.001597444089456869,0.1597444089456869
J,d,1,626,0.001597444089456869,0.1597444089456869
J,f,1,626,0.001597444089456869,0.1597444089456869
a,c,1,1644,0.0006082725060827251,0.06082725060827251
a,e,1,1644,0.0006082725060827251,0.06082725060827251
a,h,1,1644,0.0006082725060827251,0.06082725060827251
a,i,1,1644,0.0006082725060827251,0.06082725060827251
a,j,1,1644,0.0006082725060827251,0.06082725060827251
a,y,1,1644,0.0006082725060827251,0.06082725060827251
Y,v,1,798,0.0012531328320802004,0.12531328320802004
O,C,1,4156,0.00024061597690086623,0.024061597690086624
O,M,1,4156,0.00024061597690086623,0.024061597690086624
O,S,1,4156,0.00024061597690086623,0.024061597690086624
L,1,1,810,0.0012345679012345679,0.12345679012345678
L,G,1,810,0.0012345679012345679,0.12345679012345678
L,Z,1,810,0.0012345679012345679,0.12345679012345678
I,n,1,2048,0.00048828125,0.048828125
b,L,1,853,0.0011723329425556857,0.11723329425556857
c,L,1,432,0.0023148148148148147,0.23148148148148145
c,d,1,432,0.0023148148148148147,0.23148148148148145
c,f,1,432,0.0023148148148148147,0.23148148148148145
d,2,1,1683,0.0005941770647653001,0.05941770647653001
d,7,1,1683,0.0005941770647653001,0.05941770647653001
a,U,1,1644,0.0006082725060827251,0.06082725060827251
a,Y,1,1644,0.0006082725060827251,0.06082725060827251
M,0,1,1485,0.0006734006734006734,0.06734006734006734
M,7,1,1485,0.0006734006734006734,0.06734006734006734
M,O,1,1485,0.0006734006734006734,0.06734006734006734
M,U,1,1485,0.0006734006734006734,0.06734006734006734
J,V,1,626,0.001597444089456869,0.1597444089456869
H,4,1,521,0.0019193857965451055,0.19193857965451055
H,B,1,521,0.0019193857965451055,0.19193857965451055
H,N,1,521,0.0019193857965451055,0.19193857965451055
d,R,1,1683,0.0005941770647653001,0.05941770647653001
d,U,1,1683,0.0005941770647653001,0.05941770647653001
d,X,1,1683,0.0005941770647653001,0.05941770647653001
d,c,1,1683,0.0005941770647653001,0.05941770647653001
d,t,1,1683,0.0005941770647653001,0.05941770647653001
