feature,MI_regression,abs_correlation
age,0.0073,0.01
class_attendance,0.1832,0.3595
party_hours,0.0,0.0008
sleep_hours,0.0429,0.1659
student_height,0.0,0.0007
study_hours,0.6404,0.7576
